ID	Name	Size	Bark	Embryo	FlushBud	MatureNeedle	Megagametophyte	SeedGermination	Xylem	YoungBuds
gene3575	NA	195	0	3.37629	0	0	7.12606	0	0	0
gene3576	NA	153	0	4.30312	0	0	9.08224	0	0	0
gene3577	NA	261	0	15.2702	0	0	0	0	0	0
gene3578	NA	204	0	1.61367	0	0	3.40584	0	0	0
gene3579	mttB	756	345.798	411.092	281.602	157.569	280.346	103.556	715.488	304.453
gene3580	NA	255	0	79.8242	6.51475	0	56.4984	0	0	0
gene3581	NA	96	0	0	0	0	0	0	0	0
gene3582	NA	267	0	20.1071	0	0	45.4185	3.76909	0	0
gene3583	NA	159	0	4.14074	0	0	8.73951	0	0	0
gene3584	NA	282	0	5.13432	0	0	9.11918	0	0	0
gene3585	NA	168	0	9.79728	0	0	4.13566	0	0	0
gene3586	NA	195	0	6.75259	0	0	0	0	0	0
gene3587	NA	204	0	3.22734	0	0	0	0	0	0
gene3588	NA	240	0	14.8851	0	0	0	0	0	0
gene3589	NA	351	0	7.41888	88.7213	0	19.1416	0	0	0
gene3590	NA	210	0	1.56756	0	0	165.817	0	0	0
gene3591	NA	252	0	57.8958	0	0	45.126	0	0	0
gene3592	NA	249	0	0	0	0	48.2604	0	0	0
gene3593	NA	267	0	0	0	0	11.3546	0	0	0
gene3594	NA	279	0	26.9318	0	0	9.49296	21.6419	0	0
gene3595	NA	171	0	1.92508	0	0	4.06311	0	0	0
gene3596	NA	204	0	0	0	0	6.81168	0	0	0
gene3597	NA	252	169.741	125.441	316.431	15.6567	481.344	211.653	0	411.432
gene3598	NA	204	0	24.205	0	0	13.6234	9.86616	0	0
gene3599	NA	240	0	44.6553	0	0	40.6428	20.9656	0	0
gene3600	NA	267	7.62881	80.4284	6.22195	0	90.8371	0	0	0
gene3601	NA	141	0	28.0161	11.782	0	34.4932	0	0	25.8009
gene3602	ccmFn	1725	121.788	350.35	85.9203	72.8988	314.195	86.9317	322.485	97.088
gene3603	NA	180	33.9482	104.243	55.3754	65.7583	77.199	33.5449	33.3348	101.054
gene3604	NA	252	0	96.493	6.59231	0	60.168	3.99344	0	7.21811
gene3605	NA	246	0	69.0387	7.57844	40.0965	55.9423	4.28463	0	0
gene3606	NA	198	61.724	1.83473	116.438	29.8901	13.2081	86.1628	171.725	91.8668
gene3607	NA	174	23.4125	7.56755	19.095	0	15.9722	5.78361	0	10.4538
gene3608	NA	507	65.3932	19.3563	17.1752	41.7078	20.7614	23.1385	0	19.4395
gene3609	NA	228	17.8675	130.175	14.5725	0	31.3109	13.2414	0	0
gene3610	NA	138	29.5202	0	24.0763	14.2953	15.1042	0	0	52.7236
gene3611	NA	213	0	0	0	0	0	0	0	0
gene3612	NA	297	0	20.8044	0	0	0	0	0	0
gene3613	NA	201	0	13.102	0	0	6.91334	0	0	0
gene3614	NA	231	0	250.996	0	0	193.073	0	0	0
gene3615	NA	201	0	8.18877	0	0	20.74	5.00671	0	0
gene3616	NA	114	0	25.9886	0	0	24.3786	0	0	0
gene3617	NA	117	0	5.62716	0	0	0	0	0	0
gene3618	NA	150	0	2.19459	11.0751	0	0	0	0	0
gene3619	NA	369	41.6625	13.0704	119.841	0	51.0907	12.6646	0	74.0311
gene3620	NA	168	0	17.6351	0	0	16.5426	5.99017	0	0
gene3621	NA	114	0	5.77524	0	0	0	0	0	31.9116
gene3622	NA	294	0	17.2995	0	0	39.3917	0	0	0
gene3623	NA	249	16.3606	42.3186	0	0	80.4341	12.1247	0	7.30507
gene3624	NA	366	177.544	15.5576	126.695	163.724	34.6983	39.4844	0	78.8446
gene3625	NA	228	8.93373	195.262	0	0	62.6217	8.82761	0	7.97791
gene3626	NA	264	0	28.5535	0	0	11.94	3.81192	0	13.78
gene3627	NA	237	0	68.8848	0	0	22.276	0	0	0
gene3628	NA	399	0	9.08782	0	0	3.59641	0	0	0
gene3629	NA	156	0	8.44073	0	0	0	6.45095	0	11.66
gene3630	NA	243	8.38227	222.821	0	32.4732	298.914	12.424	0	44.9127
gene3631	NA	222	36.7007	319.966	14.9663	17.7725	85.8291	4.5331	0	8.19353
gene3632	NA	123	0	37.4686	0	0	39.541	0	0	0
gene3633	NA	135	0	24.3843	0	73.0647	20.5864	22.3633	0	0
gene3634	NA	237	17.189	378.867	14.0191	24.9715	334.14	21.231	0	38.3748
gene3635	NA	195	31.3368	35.4511	0	10.1167	42.7564	5.16076	0	27.9841
gene3636	NA	351	263.758	74.1888	177.443	415.979	119.635	16.3736	0	116.823
gene3637	NA	288	14.1451	70.4244	0	34.2491	101.442	10.4828	0	0
gene3638	NA	165	12.3448	11.9705	0	0	12.6326	18.2972	0	0
gene3639	NA	96	21.2176	30.8614	0	0	50.6618	0	0	0
gene3640	NA	318	83.2691	161.117	1120.2	62.0361	260.105	176.79	0	11.44
gene3641	NA	489	180.907	93.4935	18.9373	126.756	191.369	35.3173	0	10.7542
gene3642	NA	273	104.456	107.509	6.08521	93.9404	155.11	11.0588	0	0
gene3643	NA	213	0	1.54549	0	0	96.6316	0	0	0
gene3644	NA	201	0	11.4643	0	0	13.8267	0	0	0
gene3645	NA	117	17.4093	16.8815	0	0	11.8768	0	0	0
gene3646	NA	189	0	13.9339	0	0	18.3807	5.32459	0	0
gene3647	NA	483	12.5047	39.7338	9.8039	0	62.6638	5.2018	12.0574	22.2993
gene3648	NA	219	9.30087	3541.88	7.58567	54.0479	737.453	13.7856	0	16.6115
gene3649	NA	126	32.3316	73.153	39.5538	78.2837	93.7416	55.9082	0	28.8724
gene3650	trnD-GUC-3	74	0.00168312	14.5375	22.4495	95.9715	9.38907	0	0	0
gene3651	trnS-GGA	1450	72.1093	267.708	321.596	85.378	232.865	129.212	127.115	246.254
gene3652	trnY-GUA-1	83	49.0817	91.2209	80.0608	118.84	107.64	24.2493	0	87.6609
gene3653	NA	204	39.939	53.2511	89.5778	38.6813	47.6817	69.0631	0	35.666
gene3654	NA	243	8.38227	222.821	0	0	93.4108	8.2827	8.23082	0
gene3655	NA	159	0	12.4222	0	0	17.479	0	0	0
gene3656	NA	231	0	276.095	0	0	330.983	0	0	0
gene3657	NA	216	0	6.09609	0	0	340.915	0	0	33.6845
gene3658	NA	216	0	3.04804	0	0	68.1829	0	0	0
gene3659	NA	150	0	17.5567	11.0751	0	13.8958	0	0	0
gene3660	NA	291	0	81.0418	0	0	65.2462	688.525	0	6.25073
gene3661	atp9-2	249	1790.95	21603.5	843.225	411.98	14166.6	949.379	1154.72	443.199
gene3662	NA	138	0	16.698	0	0	20.1389	14.5848	101.454	26.3618
gene3663	NA	255	0	17.7387	0	0	84.7477	0	0	0
