Tissue	Library	File
Bark	A11180	/projects/analysis/analysis7/IX0071/D0U8CACXX_4/no_ref/A11180/bwa/D0U8CACXX_4_TGACCA.bam
Embryo	A17448	/projects/analysis/analysis8/IX0729/D12M7ACXX_7/no_ref/A17448/bwa/D12M7ACXX_7_GGCTAC.bam
FlushBud	A11179	/projects/analysis/analysis7/IX0071/D0U8CACXX_4/no_ref/A11179/bwa/D0U8CACXX_4_TTAGGC.bam
MatureNeedle	A11182	/projects/analysis/analysis7/IX0275/D0U8CACXX_6/no_ref/A11182/bwa/D0U8CACXX_6_GCCAAT.bam
Megagametophyte	A17447	/projects/analysis/analysis8/IX0729/D12M7ACXX_7/no_ref/A17447/bwa/D12M7ACXX_7_TAGCTT.bam
SeedGermination	A11276	/projects/analysis/analysis7/IX0072/D0U8CACXX_5/no_ref/A11276/bwa/D0U8CACXX_5_ACTTGA.bam
Xylem	A11181	/projects/analysis/analysis7/IX0275/D0U8CACXX_6/no_ref/A11181/bwa/D0U8CACXX_6_ACAGTG.bam
YoungBuds	A11183	/projects/analysis/analysis7/IX0072/D0U8CACXX_5/no_ref/A11183/bwa/D0U8CACXX_5_CAGATC.bam
